id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
3984,1,4,4,0,0,1,0.2,0,1,1.0,6,1,0.0,1,0,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,1.0,0,0,7,0.14,4,7,4,5,7,80.0,5,False
3985,1,0,5,0,0,1,0.17,0,1,1.0,1,1,0.0,1,3,51.81,1.5,116.56,0.03,21,0.67,6.48,77.71,1.0,0,0,2,0.11,10,11,10,3,9,83.33,6,False
3986,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
3987,9,9,24,5,16,5,0.17,8,5,1.0,24,1,0.0,5,0,36.74,12.66,5885.92,0.16,93,0.08,327.0,465.0,0.2,4,8,21,0.14,37,56,19,13,36,85.29,29,False
3988,3,3,13,6,4,2,0.14,2,2,1.0,12,1,0.0,1,0,48.4,11.36,6250.0,0.18,110,0.09,347.22,550.0,0.5,1,2,12,0.09,50,60,22,10,22,95.0,14,False
3989,1,3,1,0,0,1,0.5,0,1,1.0,4,1,0.0,1,2,11.52,3.75,161.94,0.01,13,0.27,9.0,43.19,1.0,0,0,5,0.17,5,8,4,6,6,50.0,2,False
3990,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,1,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,1.0,0,0,3,0.25,3,6,3,5,4,50.0,2,False
3991,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
3992,1,1,2,0,0,1,0.33,0,1,1.0,2,1,0.0,1,2,6.67,4.5,135.0,0.01,10,0.22,7.5,30.0,1.0,0,0,3,0.2,3,7,2,6,5,66.67,3,False
3993,3,2,1,0,4,2,1.0,2,2,1.0,6,1,0.0,1,1,9.0,3.33,100.0,0.01,10,0.3,5.56,30.0,0.5,1,2,6,0.5,4,6,3,5,4,50.0,2,False
3994,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,4,32.5,0.5,8.13,0.01,7,2.0,0.45,16.25,1.0,0,0,2,0.13,4,3,4,1,8,50.0,2,False
3995,1,2,2,0,0,1,0.33,0,1,1.0,4,1,0.0,1,1,11.18,5.63,353.85,0.02,17,0.18,19.66,62.91,1.0,0,0,5,0.2,5,12,4,9,5,66.67,3,False
3996,7,0,1,0,12,4,2.0,6,1,0.25,12,1,0.0,1,3,6.66,10.0,665.68,0.02,21,0.1,36.98,66.57,0.25,3,6,10,1.0,10,11,3,6,4,50.0,2,False
3997,3,4,4,0,4,2,0.4,2,2,1.0,10,1,0.0,1,3,19.35,6.25,755.8,0.04,29,0.16,41.99,120.93,0.5,1,2,10,0.22,10,19,8,10,9,80.0,5,False
3998,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,2,0.33,3,5,3,5,3,50.0,2,False
3999,5,3,6,0,8,3,0.43,4,3,1.0,15,1,0.0,1,1,13.75,16.0,3521.25,0.07,48,0.06,195.63,220.08,0.33,2,4,14,0.33,16,32,8,16,9,85.71,7,False
4000,5,2,5,0,6,3,0.43,2,3,1.0,10,3,1.0,2,2,16.59,5.79,555.43,0.03,24,0.17,30.86,96.0,1.0,2,3,9,0.3,9,15,7,9,10,71.43,7,False
4001,5,5,11,2,6,3,0.23,2,2,0.67,12,3,1.0,2,1,28.53,12.79,4669.85,0.12,73,0.08,259.44,365.0,1.0,2,3,11,0.17,29,44,17,15,18,86.67,13,False
4002,11,5,16,57,20,6,0.25,10,5,0.83,23,1,0.0,8,0,36.62,7.08,1833.96,0.09,59,0.14,101.89,259.14,0.17,5,10,19,0.07,23,36,13,8,83,90.12,24,False
4003,11,8,20,5,20,6,0.25,10,5,0.83,34,1,0.0,4,1,20.14,22.1,9834.5,0.15,89,0.05,546.36,445.0,0.17,5,10,30,0.19,39,50,15,17,31,86.21,24,False
4004,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.5,1,3,1,3,2,0.0,0,False
4005,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,3,0.5,2,0,2,0,2,0.0,1,False
4006,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4007,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.2,1,3,1,3,5,50.0,2,False
4008,1,1,2,0,0,1,0.33,0,1,1.0,2,1,0.0,1,1,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,0,0,3,0.25,2,6,2,6,4,66.67,3,False
4009,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,2,10.28,4.38,196.76,0.01,13,0.23,10.93,44.97,1.0,0,0,2,0.33,5,8,4,7,3,50.0,2,False
4010,3,3,6,0,4,2,0.25,2,2,1.0,7,1,0.0,2,1,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,0.5,1,2,7,0.2,8,13,6,7,10,75.0,8,False
4011,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4012,1,0,1,0,4,1,0.5,2,1,1.0,1,1,0.0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,1,2,2,0.2,2,6,2,6,5,50.0,2,False
4013,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,0.25,3,5,3,5,4,50.0,2,False
4014,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,1,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,1.0,0,0,3,0.25,3,4,3,4,4,50.0,2,False
4015,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,3,0.5,2,0,2,0,2,0.0,1,False
4016,15,8,23,10,20,8,0.33,6,6,0.75,38,6,0.0,1,2,36.9,17.19,10901.14,0.21,120,0.06,605.62,634.25,0.75,7,10,32,0.22,55,65,24,15,36,97.06,24,True
4017,7,0,7,0,12,4,0.44,6,1,0.25,13,4,1.0,2,2,5.74,20.0,2294.27,0.04,31,0.05,127.46,114.71,1.0,3,6,11,0.36,12,19,3,10,11,77.78,9,False
4018,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4019,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4020,3,1,5,0,4,2,0.29,2,2,1.0,7,1,0.0,2,4,9.07,12.6,1439.18,0.04,30,0.08,79.95,114.22,0.5,1,2,7,0.18,14,16,5,9,11,71.43,7,False
4021,7,3,14,1,12,4,0.25,6,3,0.75,21,1,0.0,2,1,11.91,27.44,8971.59,0.11,68,0.04,498.42,326.9,0.25,3,6,19,0.21,26,42,9,19,19,88.24,16,False
4022,9,3,12,4,16,5,0.31,8,5,1.0,24,5,1.0,4,2,18.2,14.0,3567.06,0.08,53,0.07,198.17,254.79,1.0,4,8,21,0.21,21,32,12,16,24,80.0,16,False
4023,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,2,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1.0,0,0,2,1.0,3,8,3,7,1,0.0,0,False
4024,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,1,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,0,0,2,1.0,2,6,2,6,1,0.0,0,False
4025,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,1.0,0,0,3,1.0,2,5,2,5,1,0.0,0,False
4026,3,2,4,0,4,2,0.4,2,2,1.0,7,1,0.0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
4027,3,2,2,0,4,2,0.67,2,2,1.0,8,1,0.0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,False
4028,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4029,3,2,2,0,4,2,0.67,2,2,1.0,6,1,0.0,1,0,9.49,3.5,116.27,0.01,10,0.29,6.46,33.22,0.5,1,2,6,0.4,3,7,3,7,5,66.67,3,False
4030,7,8,15,0,12,4,0.21,6,4,1.0,20,4,1.0,4,4,17.92,22.0,8672.47,0.13,82,0.05,481.8,394.2,1.0,3,6,18,0.18,33,49,12,16,22,78.95,19,False
4031,5,3,10,0,8,3,0.25,4,2,0.67,12,1,0.0,2,4,16.72,15.27,3900.84,0.09,55,0.07,216.71,255.41,0.33,2,4,11,0.2,24,31,11,14,15,83.33,12,False
4032,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,0.5,3,5,3,5,2,0.0,1,False
4033,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,3,0.25,1,5,1,5,4,50.0,2,False
4034,5,7,8,0,8,3,0.27,4,3,1.0,20,1,0.0,3,5,29.93,9.54,2723.24,0.1,65,0.1,151.29,285.5,0.33,2,4,19,0.2,31,34,13,8,15,72.73,11,False
4035,3,2,4,0,4,2,0.4,2,2,1.0,7,1,0.0,1,1,13.66,4.2,240.91,0.02,16,0.24,13.38,57.36,0.5,1,2,7,0.29,6,10,5,7,7,80.0,5,False
4036,3,2,2,0,4,2,0.67,2,2,1.0,8,1,0.0,1,0,6.16,10.67,701.11,0.02,19,0.09,38.95,65.73,0.5,1,2,8,0.4,8,11,3,8,5,66.67,3,False
4037,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
4038,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,0,8.15,3.5,99.85,0.01,9,0.29,5.55,28.53,1.0,0,0,3,0.25,2,7,2,7,4,50.0,2,False
4039,1,0,1,0,4,1,0.5,2,1,1.0,1,1,0.0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,1,2,2,0.25,2,6,2,6,4,50.0,2,False
4040,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,2,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1.0,0,0,2,1.0,3,8,3,7,1,0.0,0,False
4041,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4042,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4043,3,0,3,0,4,2,0.5,2,1,0.5,6,1,0.0,1,0,13.88,4.8,319.72,0.02,18,0.21,17.76,66.61,0.5,1,2,6,0.33,6,12,5,8,6,75.0,4,False
4044,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4045,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,0.25,3,5,3,5,4,50.0,2,False
4046,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,2,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,1.0,0,0,3,0.25,3,6,3,6,4,50.0,2,False
4047,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4048,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,2,6.64,6.0,239.18,0.01,12,0.17,13.29,39.86,1.0,0,0,3,0.5,3,9,2,8,2,0.0,1,False
4049,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,3,0.5,2,0,2,0,2,0.0,1,False
4050,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,3,0.5,2,0,2,0,2,0.0,1,False
4051,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,2,0.33,3,5,3,5,3,50.0,2,False
4052,3,2,4,0,4,2,0.4,2,2,1.0,7,1,0.0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
4053,1,1,2,6,0,1,0.33,0,1,1.0,2,1,0.0,1,2,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,1.0,0,0,3,0.09,3,5,3,4,11,88.89,3,False
4054,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4055,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,3,1.0,1,0,1,0,1,0.0,0,False
4056,1,0,1,2,0,1,0.5,0,1,1.0,1,1,0.0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.17,1,3,1,3,6,75.0,2,False
4057,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
4058,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,7.49,3.0,67.38,0.01,8,0.33,3.74,22.46,1.0,0,0,2,1.0,1,7,1,6,1,0.0,0,False
4059,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,3,0.25,2,3,2,3,4,50.0,2,False
4060,3,2,4,0,4,2,0.4,2,2,1.0,7,1,0.0,1,2,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,7,0.29,7,10,6,8,7,80.0,5,False
4061,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,1,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,0,0,3,0.25,2,6,2,6,4,50.0,2,False
4062,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,2,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,1.0,2,1,2,1,1,0.0,0,False
4063,1,2,7,14,0,1,0.13,0,1,1.0,5,1,0.0,1,0,26.79,4.81,620.46,0.04,33,0.21,34.47,128.93,1.0,0,0,6,0.04,11,22,8,7,24,95.45,8,False
4064,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,1.0,1,3,1,3,1,0.0,0,False
4065,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,1,0,1,0,1,0.0,0,False
4066,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,1,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,1.0,1,4,1,4,1,0.0,0,False
4067,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.5,1,3,1,3,2,0.0,0,False
4068,3,1,1,0,4,2,1.0,2,2,1.0,6,1,0.0,1,0,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,0.5,1,2,6,0.5,3,6,3,6,4,50.0,2,False
4069,1,0,3,0,0,1,0.25,0,1,1.0,1,1,0.0,1,2,10.34,2.5,64.62,0.01,10,0.4,3.59,25.85,1.0,0,0,2,0.17,5,5,3,3,6,75.0,4,False
4070,7,5,17,12,12,4,0.21,6,4,1.0,20,1,0.0,2,3,30.56,21.0,13475.4,0.21,119,0.05,748.63,641.69,0.25,3,6,18,0.12,56,63,24,18,33,93.55,19,False
4071,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,3,0.5,2,0,2,0,2,0.0,1,False
4072,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
4073,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,0.33,2,4,2,4,3,50.0,2,False
4074,7,3,14,1,12,4,0.25,6,3,0.75,21,1,0.0,2,1,11.91,27.44,8971.59,0.11,68,0.04,498.42,326.9,0.25,3,6,19,0.21,26,42,9,19,19,88.24,16,False
4075,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,2,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,1.0,2,1,2,1,1,0.0,0,False
4076,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
4077,5,2,3,0,6,3,0.6,2,2,0.67,9,1,0.0,2,2,18.2,5.5,550.43,0.03,24,0.18,30.58,100.08,0.33,2,3,8,0.43,11,13,9,9,7,60.0,5,False
4078,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,1.0,2,4,2,4,1,0.0,0,False
4079,1,1,1,0,0,1,0.5,0,1,1.0,2,1,0.0,1,3,14.62,2.5,91.35,0.01,11,0.4,5.08,36.54,1.0,0,0,3,0.2,5,6,5,5,5,50.0,2,False
4080,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
4081,1,2,0,0,0,1,1.0,0,1,1.0,3,1,0.0,0,0,11.23,2.0,44.92,0.01,8,0.5,2.5,22.46,1.0,0,0,4,1.0,3,5,3,4,1,0.0,0,False
4082,3,0,4,0,4,2,0.4,2,1,0.5,6,1,0.0,1,2,6.18,5.0,154.4,0.01,11,0.2,8.58,30.88,0.5,1,2,6,0.29,4,7,2,5,7,80.0,5,False
4083,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
4084,1,0,4,0,0,1,0.2,0,1,1.0,1,1,0.0,1,3,21.6,5.0,540.0,0.04,27,0.2,30.0,108.0,1.0,0,0,2,0.14,10,17,8,8,7,80.0,5,False
4085,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,3,11.52,3.75,161.94,0.01,13,0.27,9.0,43.19,1.0,0,0,2,0.25,5,8,4,6,4,50.0,2,False
4086,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,2,13.32,3.5,163.12,0.02,13,0.29,9.06,46.6,1.0,0,0,2,0.33,5,8,5,7,3,50.0,2,False
4087,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,0.5,3,5,3,5,2,0.0,0,False
4088,7,1,9,0,12,4,0.33,6,2,0.5,17,3,0.0,3,4,9.49,14.0,1859.68,0.04,34,0.07,103.32,132.83,0.75,3,6,15,0.27,14,20,5,10,15,75.0,12,False
4089,3,1,1,0,6,2,1.0,2,1,0.5,5,1,0.0,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0.5,2,3,5,0.5,5,9,4,7,4,50.0,2,False
4090,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,1,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,2,0,2,0,1,0.0,0,False
4091,5,3,4,0,8,3,0.6,4,3,1.0,15,1,0.0,1,1,10.03,17.33,3014.58,0.06,39,0.06,167.48,173.92,0.33,2,4,14,0.43,13,26,6,16,7,80.0,5,False
4092,1,1,2,2,0,1,0.33,0,1,1.0,2,1,0.0,1,0,12.0,2.5,75.0,0.01,10,0.4,4.17,30.0,1.0,0,0,3,0.14,3,7,3,5,7,80.0,3,False
4093,3,1,0,0,4,2,1.0,2,2,1.0,5,1,0.0,0,0,8.3,4.0,132.88,0.01,10,0.25,7.38,33.22,0.5,1,2,5,2.0,2,8,2,8,1,0.0,0,False
4094,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,1.0,2,4,2,4,1,0.0,0,False
4095,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,0.25,2,4,2,4,4,50.0,2,False
4096,1,1,2,0,0,1,0.33,0,1,1.0,2,1,0.0,1,2,5.4,8.0,345.48,0.01,13,0.13,19.19,43.19,1.0,0,0,3,0.2,4,9,2,8,5,66.67,3,False
4097,1,0,3,0,0,1,0.25,0,1,1.0,1,1,0.0,1,1,10.68,4.67,232.53,0.02,15,0.21,12.92,49.83,1.0,0,0,2,0.17,4,11,3,7,6,75.0,4,False
4098,5,3,7,0,8,3,0.3,4,3,1.0,10,1,0.0,3,2,23.36,5.25,643.78,0.04,30,0.19,35.77,122.62,0.33,2,4,9,0.25,15,15,10,7,12,70.0,10,False
4099,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.25,1,4,1,4,4,50.0,2,False
4100,1,0,2,0,0,1,0.33,0,1,1.0,1,1,0.0,1,0,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,1.0,0,0,2,0.2,2,7,2,6,5,66.67,3,False
4101,1,1,2,0,0,1,0.33,0,1,1.0,2,1,0.0,1,2,5.4,8.0,345.48,0.01,13,0.13,19.19,43.19,1.0,0,0,3,0.2,4,9,2,8,5,66.67,3,False
4102,5,2,3,0,8,3,0.75,4,2,0.67,11,3,1.0,1,1,9.79,9.6,902.51,0.03,23,0.1,50.14,94.01,1.0,2,4,10,0.5,8,15,5,12,6,75.0,4,False
4103,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,1.0,1,3,1,3,1,0.0,0,False
4104,1,1,0,0,0,1,1.0,0,1,1.0,2,1,0.0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
4105,1,3,4,0,0,1,0.17,0,1,1.0,5,1,0.0,2,4,55.51,1.8,179.84,0.03,27,0.56,9.99,99.91,1.0,0,0,6,0.1,12,15,10,3,10,66.67,6,False
4106,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,2,1.0,0,0,0,0,1,0.0,0,False
4107,3,2,1,0,4,2,1.0,2,1,0.5,8,1,0.0,1,2,14.8,3.5,181.32,0.02,14,0.29,10.07,51.81,0.5,1,2,8,0.33,6,8,6,7,6,50.0,2,False
4108,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
4109,1,0,1,0,0,1,0.5,0,1,1.0,1,1,0.0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
4110,1,1,2,0,0,1,0.33,0,1,1.0,2,1,0.0,1,2,6.74,3.75,94.75,0.01,9,0.27,5.26,25.27,1.0,0,0,3,0.2,3,6,2,5,5,66.67,3,False
4111,5,1,7,0,8,3,0.33,4,2,0.67,10,3,1.0,2,4,13.81,12.44,2139.14,0.06,38,0.08,118.84,171.9,1.0,2,4,9,0.25,16,22,9,14,12,77.78,9,False
4112,1,2,1,0,0,1,0.5,0,1,1.0,3,1,0.0,1,2,13.29,3.0,119.59,0.01,12,0.33,6.64,39.86,1.0,0,0,4,0.25,4,8,4,6,4,50.0,2,False
4113,1,3,2,0,0,1,0.25,0,1,1.0,4,1,0.0,2,4,18.51,2.33,100.77,0.01,13,0.43,5.6,43.19,1.0,0,0,5,0.14,7,6,6,4,7,50.0,4,False
4114,21,8,29,5,36,11,0.35,16,11,1.0,54,9,0.0,2,4,40.72,23.68,22836.03,0.32,180,0.04,1268.67,964.36,0.82,10,18,45,0.27,74,106,25,16,41,94.44,31,False
4115,3,0,4,0,4,2,0.4,2,1,0.5,6,1,0.0,1,2,6.18,5.0,154.4,0.01,11,0.2,8.58,30.88,0.5,1,2,6,0.25,4,7,2,5,8,80.0,5,False
4116,1,0,0,0,0,1,1.0,0,1,1.0,1,1,0.0,0,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.5,1,3,1,3,2,0.0,0,False
